id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2025-03-27 09:29:19,"{""short_code"":""TnKwuS"",""original_url"":""https://opswise.net/ivory/pioneer/1""}"
2,2,6,created,2025-01-05 12:48:04,"{""short_code"":""BqJLDM"",""original_url"":""https://example.com/lively/beacon/2""}"
3,3,31,created,2025-07-29 14:11:39,"{""short_code"":""i9X9Xs"",""original_url"":""https://hackstack.io/ivory/garden/3""}"
4,4,325,created,2025-11-30 11:55:18,"{""short_code"":""86JzDz"",""original_url"":""https://seeded.app/vivid/meadow/4""}"
5,5,8,created,2025-07-15 00:00:22,"{""short_code"":""9pFweg"",""original_url"":""https://example.com/clear/beacon/5""}"
6,6,310,created,2025-07-03 10:38:45,"{""short_code"":""Wz2f07"",""original_url"":""https://opswise.net/proud/river/6""}"
7,7,2,created,2025-05-16 19:46:56,"{""short_code"":""Oh0USc"",""original_url"":""https://relay.cloud/gold/engine/7""}"
8,8,301,created,2025-12-09 06:35:42,"{""short_code"":""XRrnmV"",""original_url"":""https://example.com/jade/yard/8""}"
9,9,184,created,2025-07-09 05:54:46,"{""short_code"":""1ZK3sI"",""original_url"":""https://example.com/vivid/valley/9""}"
10,10,190,created,2025-10-31 22:27:24,"{""short_code"":""7Vn3oZ"",""original_url"":""https://example.com/calm/trail/10""}"
11,11,176,created,2025-05-22 06:10:13,"{""short_code"":""vZiKww"",""original_url"":""https://hackstack.io/proud/journey/11""}"
12,12,95,created,2025-09-15 15:48:55,"{""short_code"":""L3f5Vd"",""original_url"":""https://acme.dev/silver/zenith/12""}"
13,13,2,created,2025-01-16 07:41:22,"{""short_code"":""DwvT8C"",""original_url"":""https://example.com/mellow/canyon/13""}"
14,14,112,created,2025-10-14 01:40:58,"{""short_code"":""5RJ7h7"",""original_url"":""https://example.com/urban/meadow/14""}"
15,15,171,created,2025-10-02 14:34:06,"{""short_code"":""Grca8x"",""original_url"":""https://hackstack.io/keen/window/15""}"
16,16,296,created,2025-09-04 06:24:04,"{""short_code"":""o1XJ57"",""original_url"":""https://seeded.app/harbor/island/16""}"
17,17,366,created,2025-01-12 15:57:31,"{""short_code"":""UKL7rW"",""original_url"":""https://hackstack.io/silver/orbit/17""}"
18,18,77,created,2025-11-16 01:57:40,"{""short_code"":""B3fYfb"",""original_url"":""https://seeded.app/dawn/delta/18""}"
19,19,95,created,2025-10-02 03:47:57,"{""short_code"":""jkVOFb"",""original_url"":""https://example.com/urban/quartz/19""}"
20,20,171,created,2025-09-16 04:51:45,"{""short_code"":""gkH6Di"",""original_url"":""https://hackstack.io/brisk/trail/20""}"
21,21,7,created,2025-01-31 18:56:00,"{""short_code"":""f2Djdt"",""original_url"":""https://seeded.app/urban/trail/21""}"
22,22,355,created,2025-03-15 13:03:05,"{""short_code"":""qsx0g0"",""original_url"":""https://hackstack.io/dawn/journey/22""}"
23,23,317,created,2025-04-28 06:18:00,"{""short_code"":""0kSeQo"",""original_url"":""https://acme.dev/silver/journey/23""}"
24,24,251,created,2026-01-20 11:34:36,"{""short_code"":""EhiuyE"",""original_url"":""https://relay.cloud/opal/anchor/24""}"
25,25,230,created,2025-04-19 04:34:19,"{""short_code"":""jLjGzc"",""original_url"":""https://example.com/opal/anchor/25""}"
26,26,294,created,2026-01-04 15:30:33,"{""short_code"":""Gtjpn1"",""original_url"":""https://hackstack.io/lively/quartz/26""}"
27,27,317,created,2025-07-18 17:45:56,"{""short_code"":""VFvJ7I"",""original_url"":""https://relay.cloud/forest/orbit/27""}"
28,28,67,created,2026-01-17 20:34:49,"{""short_code"":""eEFWhE"",""original_url"":""https://relay.cloud/navy/river/28""}"
29,29,256,created,2025-05-29 00:57:37,"{""short_code"":""QUexrv"",""original_url"":""https://seeded.app/navy/network/29""}"
30,30,252,created,2025-02-07 23:21:29,"{""short_code"":""hJUv6N"",""original_url"":""https://seeded.app/ember/network/30""}"
31,31,174,created,2025-07-15 10:49:16,"{""short_code"":""DcWWvx"",""original_url"":""https://opswise.net/opal/island/31""}"
32,32,87,created,2025-07-16 11:49:10,"{""short_code"":""emU1SF"",""original_url"":""https://hackstack.io/harbor/journey/32""}"
33,33,193,created,2025-06-26 09:32:38,"{""short_code"":""KulcYz"",""original_url"":""https://opswise.net/urban/journey/33""}"
34,34,143,created,2025-02-04 01:55:36,"{""short_code"":""5QpkKS"",""original_url"":""https://hackstack.io/urban/window/34""}"
35,35,142,created,2025-02-24 23:57:03,"{""short_code"":""tBICbW"",""original_url"":""https://example.com/silver/window/35""}"
